rating,year
4.7,2021.0
4.7,2017.0
4.7,2004.0
4.7,2019.0
4.7,2016.0
4.7,2015.0
4.7,2017.0
4.7,2016.0
4.7,2018.0
4.7,2020.0
4.7,2019.0
4.7,2003.0
4.7,2014.0
4.7,2012.0
4.7,2021.0
4.7,2017.0
4.7,1985.0
4.7,2020.0
4.7,2015.0
4.7,2015.0
4.7,2015.0
4.7,2018.0
4.7,2016.0
4.7,2015.0
4.7,2021.0
4.7,1999.0
4.7,1998.0
4.7,2021.0
4.7,2020.0
4.7,1996.0
4.7,2021.0
4.7,2015.0
4.7,2017.0
4.7,2013.0
4.7,2019.0
4.7,2016.0
4.7,2002.0
4.6,2018.0
4.6,2019.0
4.6,2020.0
4.6,2014.0
4.6,2006.0
4.6,2021.0
4.6,2019.0
4.6,2008.0
4.6,2005.0
4.6,2017.0
4.6,2017.0
4.6,2020.0
4.6,2013.0
4.6,2021.0
4.6,2018.0
4.6,2019.0
4.6,2016.0
4.6,2021.0
4.6,2020.0
4.6,2016.0
4.6,2003.0
4.6,1990.0
4.6,2018.0
4.6,2020.0
4.6,2017.0
4.6,1982.0
4.6,2020.0
4.6,2009.0
4.6,2019.0
4.6,2017.0
4.6,2019.0
4.6,2007.0
4.6,2020.0
4.6,2020.0
4.6,2008.0
4.6,2012.0
4.6,2012.0
4.6,2017.0
4.6,2017.0
4.6,2012.0
4.6,2014.0
4.6,2019.0
4.6,2017.0
4.6,2015.0
4.6,2017.0
4.6,2018.0
4.6,2019.0
4.6,2016.0
4.6,2020.0
4.6,1992.0
4.6,2020.0
4.6,2019.0
4.6,2015.0
4.6,2017.0
4.6,2003.0
4.6,2019.0
4.6,2017.0
4.6,2019.0
4.6,1984.0
4.6,2021.0
4.6,2011.0
4.6,2008.0
4.6,2015.0
4.6,2011.0
4.6,2019.0
4.6,2016.0
4.6,2016.0
4.6,2016.0
4.6,2012.0
4.6,2008.0
4.6,2015.0
4.6,2006.0
4.6,2013.0
4.6,2016.0
4.6,2018.0
4.6,2020.0
4.6,2017.0
4.6,2019.0
4.6,2020.0
4.6,2022.0
4.6,2008.0
4.6,2019.0
4.6,2019.0
4.6,2017.0
4.6,2006.0
4.6,2007.0
4.6,2020.0
4.6,2012.0
4.6,2004.0
4.6,2019.0
4.6,2017.0
4.6,2015.0
4.6,2014.0
4.6,1948.0
4.6,2012.0
4.6,2017.0
4.6,2018.0
4.6,2002.0
4.6,2019.0
4.6,2018.0
4.6,2014.0
4.6,2015.0
4.6,2010.0
4.6,2019.0
4.6,1999.0
4.6,1989.0
4.6,2015.0
4.6,2019.0
4.6,2013.0
4.6,2015.0
4.6,2020.0
4.6,2011.0
4.6,2015.0
4.6,2021.0
4.6,2015.0
4.6,2011.0
4.6,2019.0
4.6,2006.0
4.6,2017.0
4.6,2018.0
4.6,2018.0
4.6,2017.0
4.6,1998.0
4.6,2020.0
4.6,2019.0
4.6,2000.0
4.6,2021.0
4.6,2018.0
4.6,2017.0
4.6,2000.0
4.6,2010.0
4.6,2019.0
4.6,2008.0
4.6,2017.0
4.6,2014.0
4.6,2021.0
4.6,2019.0
4.6,2021.0
4.6,2017.0
4.6,2003.0
4.6,2017.0
4.6,2016.0
4.6,2006.0
4.6,2018.0
4.6,2014.0
4.6,2019.0
4.6,2016.0
4.6,2014.0
4.6,2019.0
4.6,2017.0
4.6,2021.0
4.6,2022.0
4.6,2018.0
4.6,2020.0
4.6,2015.0
4.6,2021.0
4.6,2014.0
4.6,2015.0
4.6,2016.0
4.6,2012.0
4.6,2011.0
4.6,2019.0
4.6,2014.0
4.6,2013.0
4.6,2020.0
4.6,2014.0
4.6,2018.0
4.6,2018.0
4.6,2011.0
4.6,2014.0
4.6,2011.0
4.6,2020.0
4.6,2016.0
4.6,2020.0
4.6,2010.0
4.6,2020.0
4.6,1994.0
4.6,2017.0
4.6,2019.0
4.6,2020.0
4.6,2022.0
4.6,2017.0
4.6,2020.0
4.6,2020.0
4.6,2011.0
4.6,2021.0
4.6,2019.0
4.6,1982.0
4.6,2018.0
4.6,1998.0
4.6,1988.0
4.6,2001.0
4.6,2018.0
4.6,2012.0
4.6,2020.0
4.6,2017.0
4.6,2015.0
4.6,2007.0
4.6,1994.0
4.6,2015.0
4.6,2021.0
4.6,2018.0
4.6,2020.0
4.6,2015.0
4.6,2021.0
4.6,2016.0
4.6,2012.0
4.6,2019.0
4.6,2019.0
4.6,2020.0
4.6,2020.0
4.6,2021.0
4.6,2012.0
4.6,2000.0
4.6,2019.0
4.6,2020.0
4.6,2016.0
4.6,2021.0
4.6,2021.0
4.6,2017.0
4.6,1998.0
4.6,2017.0
4.6,2022.0
4.6,2018.0
4.6,2017.0
4.6,2006.0
4.6,2008.0
4.6,2015.0
4.6,2021.0
4.6,2021.0
4.6,2017.0
4.6,2018.0
4.6,2017.0
4.6,2020.0
4.6,2016.0
4.6,2012.0
4.6,2018.0
4.6,2016.0
4.6,2009.0
4.6,2012.0
4.6,2018.0
4.6,1990.0
4.6,2017.0
4.6,2020.0
4.6,2011.0
4.6,2018.0
4.6,2008.0
4.6,2018.0
4.6,2015.0
4.6,2016.0
4.6,2017.0
4.6,2009.0
4.6,2021.0
4.6,2017.0
4.6,2004.0
4.6,2015.0
4.6,2016.0
4.6,2012.0
4.6,1999.0
4.6,2011.0
4.6,2015.0
4.6,2016.0
4.6,2019.0
4.6,2012.0
4.6,2018.0
4.6,2011.0
4.6,2008.0
4.6,2018.0
4.6,2017.0
4.6,2014.0
4.6,2014.0
4.6,2018.0
4.6,2003.0
4.6,2018.0
4.6,2020.0
4.6,2017.0
4.6,2012.0
4.6,2017.0
4.6,2020.0
4.6,2013.0
4.6,2020.0
4.6,2021.0
4.6,2019.0
4.6,2020.0
4.6,2020.0
4.6,2020.0
4.6,2007.0
4.6,2018.0
4.6,2020.0
4.6,2019.0
4.6,2021.0
4.6,2021.0
4.6,2017.0
4.6,2016.0
4.6,2018.0
4.6,2013.0
4.6,2006.0
4.6,2018.0
4.6,2021.0
4.6,2014.0
4.6,2007.0
4.6,2019.0
4.6,2016.0
4.6,2017.0
4.6,2019.0
4.6,2007.0
4.6,2013.0
4.6,2012.0
4.6,2019.0
4.6,2016.0
4.6,2017.0
4.6,2020.0
4.6,2014.0
4.6,2010.0
4.6,2019.0
4.6,2019.0
4.6,2017.0
4.6,2020.0
4.6,2021.0
4.6,2018.0
4.6,2018.0
4.6,2014.0
4.6,2017.0
4.6,2018.0
4.6,2016.0
4.6,2008.0
4.6,2015.0
4.5,2021.0
4.5,2007.0
4.5,2019.0
4.5,2017.0
4.5,2013.0
4.5,2006.0
4.5,2020.0
4.5,2008.0
4.5,2015.0
4.5,2019.0
4.5,2016.0
4.5,2018.0
4.5,2015.0
4.5,2018.0
4.5,2019.0
4.5,2021.0
4.5,2020.0
4.5,1997.0
4.5,2014.0
4.5,2014.0
4.5,2020.0
4.5,2015.0
4.5,2019.0
4.5,2019.0
4.5,2016.0
4.5,2019.0
4.5,2019.0
4.5,2021.0
4.5,1996.0
4.5,2019.0
4.5,2021.0
4.5,2019.0
4.5,1999.0
4.5,2017.0
4.5,2017.0
4.5,2021.0
4.5,2007.0
4.5,2019.0
4.5,2019.0
4.5,2011.0
4.5,2016.0
4.5,1999.0
4.5,2021.0
4.5,2020.0
4.5,2018.0
4.5,2018.0
4.5,2004.0
4.5,2012.0
4.5,2014.0
4.5,2013.0
4.5,2021.0
4.5,2011.0
4.5,2013.0
4.5,2012.0
4.5,2002.0
4.5,2019.0
4.5,2020.0
4.5,2016.0
4.5,2002.0
4.5,2019.0
4.5,2014.0
4.5,1999.0
4.5,2019.0
4.5,2013.0
4.5,2019.0
4.5,2016.0
4.5,2020.0
4.5,2020.0
4.5,2021.0
4.5,2021.0
4.5,2000.0
4.5,2002.0
4.5,2015.0
4.5,2021.0
4.5,2013.0
4.5,2014.0
4.5,2021.0
4.5,2021.0
4.5,2021.0
4.5,2017.0
4.5,2019.0
4.5,2006.0
4.5,1991.0
4.5,2019.0
4.5,2013.0
4.5,2020.0
4.5,1999.0
4.5,2016.0
4.5,2014.0
4.5,2004.0
4.5,2002.0
4.5,2015.0
4.5,2020.0
4.5,2017.0
4.5,2018.0
4.5,2018.0
4.5,2021.0
4.5,2013.0
4.5,2018.0
4.5,2008.0
4.5,2016.0
4.5,2015.0
4.5,2016.0
4.5,2018.0
4.5,2008.0
4.5,2018.0
4.5,2016.0
4.5,2011.0
4.5,2018.0
4.5,2019.0
4.5,2003.0
4.5,2018.0
4.5,2015.0
4.5,2018.0
4.5,2022.0
4.5,1989.0
4.5,2016.0
4.5,2016.0
4.5,2016.0
4.5,2009.0
4.5,2006.0
4.5,2018.0
4.5,2016.0
4.5,2012.0
4.5,2015.0
4.5,2016.0
4.5,2018.0
4.5,2011.0
4.5,1992.0
4.5,2021.0
4.5,2019.0
4.5,2019.0
4.5,2017.0
4.5,2002.0
4.5,2018.0
4.5,2005.0
4.5,2022.0
4.5,2021.0
4.5,2011.0
4.5,2005.0
4.5,2011.0
4.5,2010.0
4.5,2017.0
4.5,2018.0
4.5,2017.0
4.5,2017.0
4.5,2018.0
4.5,2008.0
4.5,2019.0
4.5,2018.0
4.5,2019.0
4.5,2015.0
4.5,2019.0
4.5,2019.0
4.5,2021.0
4.5,1995.0
4.5,2007.0
4.5,1997.0
4.5,2018.0
4.5,2017.0
4.5,2013.0
4.5,2011.0
4.5,2020.0
4.5,2020.0
4.5,2018.0
4.5,2018.0
4.5,2020.0
4.5,2016.0
4.5,2019.0
4.5,2013.0
4.5,2017.0
4.5,1989.0
4.5,1987.0
4.5,2020.0
4.5,2015.0
4.5,2019.0
4.5,2016.0
